id,nombre,comuna,area_m2,clasificacion,lat,lon
231,Jardin 231,13,3763.3,parque,-34.640438,-58.481845
232,Plaza 232,1,79002.5,parque,-34.546337,-58.488691
233,Parque 233,11,19835.6,jardin,-34.537813,-58.525867
234,Jardin 234,1,54808.7,plazoleta,-34.650225,-58.43272
235,Plazoleta 235,14,53813.9,parque,-34.601937,-58.521762
236,Parque 236,1,6468.1,plazoleta,-34.638939,-58.35448
237,Parque 237,11,1189.9,plaza,-34.54086,-58.416718
238,Plaza 238,7,59977.8,parque,-34.526676,-58.500075
239,Plazoleta 239,2,84603.1,jardin,-34.550266,-58.429049
240,Parque 240,6,33042.3,parque,-34.664347,-58.495751
241,Parque 241,3,71568.7,plaza,-34.596402,-58.448237
242,Parque 242,15,33124.3,plazoleta,-34.594155,-58.436885
243,Parque 243,15,36010.8,plazoleta,-34.532749,-58.530559
244,Plazoleta 244,6,26353.3,jardin,-34.636856,-58.408416
245,Parque 245,10,56614.6,plaza,-34.539908,-58.450662
246,Jardin 246,7,23758.0,plazoleta,-34.582141,-58.420948
247,Plaza 247,4,35497.1,plaza,-34.614086,-58.517653
248,Parque 248,5,31598.1,parque,-34.687397,-58.358608
249,Parque 249,7,69116.9,plaza,-34.632648,-58.382125
250,Plaza 250,6,42629.2,parque,-34.678097,-58.476213
