id,nombre,comuna,lat,long,anclajes_totales
77,077 - ESTACION ESTACION 77,4,-34.62129,-58.412072,32
78,078 - Estacion Plaza 78,9,-34.630627,-58.450834,32
79,079 - ESTACION BARRIO 79,14,-34.558598,-58.51815,16
80,080 - Estacion Parque 80,1,-34.692663,-58.377872,16
81,081 - ESTACION AV 81,8,-34.582317,-58.380812,16
82,082 - Estacion Parque 82,15,-34.644963,-58.471701,32
83,083 - Estacion Barrio 83,14,-34.527872,-58.339586,20
84,084 - ESTACION PARQUE 84,5,-34.680759,-58.36389,32
85,085 - Estacion Estacion 85,1,-34.559053,-58.509605,12
86,086 - ESTACION ESTACION 86,7,-34.634393,-58.486442,28
87,087 - Estacion Estacion 87,13,-34.559718,-58.507857,24
88,088 - ESTACION ESTACION 88,1,-34.675526,-58.378042,28
89,089 - ESTACION PLAZA 89,10,-34.599173,-58.360204,16
90,090 - Estacion Plaza 90,7,-34.589475,-58.511476,20
91,091 - Estacion Estacion 91,,-34.608027,-58.525953,16
92,092 - Estacion Estacion 92,3,-34.629477,-58.526006,28
93,093 - Estacion Parque 93,1,-34.702905,-58.508525,20
94,094 - ESTACION BARRIO 94,10,-34.576057,-58.491102,24
95,095 - Estacion Av 95,7,-34.602027,-58.407634,16
96,096 - ESTACION PARQUE 96,6,-34.58033,-58.528441,28
97,097 - Estacion Barrio 97,4,-34.658503,-58.510763,28
98,098 - Estacion Plaza 98,3,-34.540884,-58.406951,28
99,099 - Estacion Plaza 99,1,-34.607834,-58.452106,16
100,100 - Estacion Parque 100,3,-34.637065,-58.468818,16
101,101 - Estacion Parque 101,13,-34.645245,-58.458223,28
102,102 - Estacion Estacion 102,3,-34.546359,-58.444232,12
103,103 - Estacion Plaza 103,15,-34.598649,-58.379147,24
104,104 - Estacion Estacion 104,13,-34.616028,-58.41277,16
105,105 - Estacion Estacion 105,11,-34.643657,-58.442099,20
106,106 - Estacion Estacion 106,13,-34.693955,-58.394507,32
107,107 - ESTACION PLAZA 107,3,-34.654989,-58.365087,16
108,108 - Estacion Barrio 108,3,-34.541425,-58.489991,16
109,109 - Estacion Estacion 109,4,-34.689265,-58.410178,32
110,110 - Estacion Plaza 110,5,-34.537956,-58.51885,16
111,111 - ESTACION AV 111,4,-34.628132,-58.351155,20
112,112 - Estacion Barrio 112,8,-34.55548,-58.476736,12
113,113 - Estacion Barrio 113,3,-34.54618,-58.51823,16
114,114 - Estacion Estacion 114,3,-34.61062,-58.380362,12
115,115 - Estacion Barrio 115,11,-34.620268,-58.522551,16
116,116 - ESTACION PLAZA 116,14,-34.57966,-58.349416,20
117,117 - Estacion Barrio 117,3,-34.637441,-58.484728,28
118,118 - ESTACION BARRIO 118,,-34.604024,-58.479748,32
119,119 - Estacion Estacion 119,1,-34.556374,-58.513314,20
120,120 - Estacion Plaza 120,13,-34.582707,-58.499028,28
121,121 - Estacion Estacion 121,,-34.574841,-58.349273,28
122,122 - Estacion Barrio 122,5,-34.65381,-58.3551,24
123,123 - Estacion Plaza 123,1,-34.644646,-58.4133,32
124,124 - Estacion Av 124,5,-34.618568,-58.430026,32
125,125 - ESTACION PLAZA 125,11,-34.651405,-58.394292,20
126,126 - Estacion Parque 126,13,-34.592853,-58.467039,24
127,127 - Estacion Plaza 127,4,-34.683802,-58.507176,16
128,128 - ESTACION ESTACION 128,4,-34.608699,-58.412461,28
129,129 - Estacion Av 129,10,-34.641155,-58.397945,28
130,130 - ESTACION BARRIO 130,1,-34.583014,-58.360183,12
131,131 - ESTACION PARQUE 131,2,-34.685987,-58.439601,28
132,132 - ESTACION AV 132,6,-34.55806,-58.405885,12
133,133 - Estacion Barrio 133,12,-34.690799,-58.458105,32
134,134 - Estacion Parque 134,2,-34.553353,-58.493949,16
135,135 - Estacion Barrio 135,14,-34.650911,-58.427173,32
136,136 - Estacion Av 136,1,-34.628266,-58.40328,24
137,137 - ESTACION PLAZA 137,14,-34.585043,-58.39443,32
138,138 - Estacion Av 138,13,-34.532195,-58.340704,32
139,139 - ESTACION ESTACION 139,2,-34.676693,-58.349246,12
140,140 - Estacion Av 140,15,-34.54378,-58.442068,16
141,141 - Estacion Av 141,7,-34.626663,-58.475159,24
142,142 - Estacion Estacion 142,7,-34.657815,-58.457501,20
143,143 - Estacion Av 143,3,-34.67962,-58.381332,20
144,144 - Estacion Estacion 144,6,-34.638968,-58.34459,32
145,145 - ESTACION ESTACION 145,2,-34.613112,-58.392402,16
146,146 - ESTACION AV 146,5,-34.56582,-58.453262,28
147,147 - Estacion Av 147,1,-34.681052,-58.335324,12
148,148 - Estacion Av 148,4,-34.665419,-58.524639,16
149,149 - Estacion Barrio 149,3,-34.549002,-58.518524,16
150,150 - Estacion Plaza 150,13,-34.660495,-58.355845,32
151,151 - Estacion Barrio 151,1,-34.594713,-58.501977,24
152,152 - Estacion Barrio 152,10,-34.614407,-58.492939,28
153,153 - ESTACION BARRIO 153,11,-34.560464,-58.429667,20
154,154 - Estacion Av 154,11,-34.610322,-58.404858,16
155,155 - ESTACION BARRIO 155,6,-34.526682,-58.512457,28
156,156 - ESTACION ESTACION 156,11,-34.539113,-58.422584,28
157,157 - Estacion Barrio 157,9,-34.552851,-58.50829,16
158,158 - Estacion Estacion 158,3,-34.526132,-58.485466,16
159,159 - Estacion Plaza 159,13,-34.634566,-58.432791,20
160,160 - ESTACION BARRIO 160,5,-34.602382,-58.371833,20
161,161 - ESTACION PLAZA 161,14,-34.673396,-58.433044,16
162,162 - ESTACION ESTACION 162,6,-34.526883,-58.342823,28
163,163 - Estacion Barrio 163,1,-34.664033,-58.414076,12
164,164 - Estacion Plaza 164,1,-34.580262,-58.466291,20
165,165 - Estacion Av 165,4,-34.624704,-58.490634,16
166,166 - Estacion Plaza 166,11,-34.612452,-58.418408,16
167,167 - Estacion Parque 167,4,-34.583804,-58.340877,28
168,168 - ESTACION ESTACION 168,9,-34.574751,-58.490886,12
169,169 - Estacion Barrio 169,5,-34.569502,-58.3989,20
170,170 - Estacion Barrio 170,14,-34.532411,-58.447657,24
171,171 - Estacion Plaza 171,15,-34.693263,-58.489577,20
172,172 - Estacion Plaza 172,2,-34.616712,-58.52077,20
173,173 - ESTACION AV 173,15,-34.528311,-58.41111,12
174,174 - Estacion Plaza 174,14,-34.608166,-58.375996,20
175,175 - Estacion Barrio 175,2,-34.550423,-58.483769,16
176,176 - Estacion Plaza 176,7,-34.652929,-58.488696,20
177,177 - Estacion Av 177,,-34.571815,-58.490639,24
178,178 - ESTACION PLAZA 178,3,-34.660669,-58.42857,24
179,179 - ESTACION ESTACION 179,7,-34.640116,-58.386653,28
180,180 - Estacion Estacion 180,2,-34.688769,-58.433247,28
181,181 - Estacion Estacion 181,14,-34.698051,-58.369082,12
182,182 - Estacion Plaza 182,14,-34.532116,-58.426477,16
183,183 - Estacion Plaza 183,1,-34.678062,-58.377185,16
184,184 - ESTACION BARRIO 184,6,-34.623015,-58.345976,28
185,185 - ESTACION PARQUE 185,6,-34.572096,-58.373254,12
186,186 - Estacion Parque 186,1,-34.622702,-58.472795,12
187,187 - Estacion Barrio 187,12,-34.639168,-58.368122,12
188,188 - Estacion Barrio 188,2,-34.531414,-58.414977,20
189,189 - Estacion Estacion 189,2,-34.65916,-58.466483,32
190,190 - ESTACION BARRIO 190,3,-34.627987,-58.441464,12
191,191 - Estacion Estacion 191,11,-34.701013,-58.463091,28
192,192 - Estacion Parque 192,12,-34.547277,-58.41645,12
193,193 - Estacion Barrio 193,,-34.690752,-58.428612,20
194,194 - Estacion Barrio 194,11,-34.621642,-58.401503,28
195,195 - ESTACION BARRIO 195,1,-34.635765,-58.458124,32
196,196 - Estacion Plaza 196,10,-34.562923,-58.34464,12
197,197 - ESTACION AV 197,,-34.606663,-58.503108,24
198,198 - ESTACION AV 198,6,-34.536272,-58.457349,16
199,199 - Estacion Parque 199,1,-34.600453,-58.38877,12
200,200 - Estacion Barrio 200,7,-34.544339,-58.342804,12
201,201 - Estacion Parque 201,4,-34.64629,-58.442374,24
202,202 - Estacion Barrio 202,1,-34.592657,-58.453875,32
203,203 - Estacion Estacion 203,4,-34.592013,-58.416603,16
204,204 - Estacion Av 204,1,-34.593492,-58.346946,32
205,205 - Estacion Barrio 205,5,-34.538601,-58.357046,32
206,206 - ESTACION PLAZA 206,8,-34.580026,-58.5119,28
207,207 - ESTACION PARQUE 207,13,-34.566829,-58.354435,28
208,208 - Estacion Barrio 208,1,-34.533927,-58.379304,32
209,209 - ESTACION AV 209,11,-34.621844,-58.360844,12
210,210 - Estacion Barrio 210,12,-34.610605,-58.433292,16
211,211 - ESTACION BARRIO 211,14,-34.702945,-58.362404,12
212,212 - Estacion Plaza 212,9,-34.537811,-58.464659,16
213,213 - ESTACION AV 213,4,-34.612948,-58.383069,16
214,214 - ESTACION AV 214,1,-34.545864,-58.444515,16
215,215 - Estacion Parque 215,3,-34.55495,-58.383898,32
216,216 - Estacion Plaza 216,15,-34.560377,-58.459592,24
217,217 - Estacion Barrio 217,12,-34.666358,-58.381581,32
218,218 - Estacion Barrio 218,4,-34.614556,-58.492571,16
219,219 - Estacion Parque 219,2,-34.645231,-58.339799,16
220,220 - Estacion Estacion 220,15,-34.646073,-58.508774,32
221,221 - ESTACION AV 221,5,-34.634721,-58.3741,24
222,222 - Estacion Av 222,1,-34.539613,-58.398361,12
223,223 - ESTACION PARQUE 223,12,-34.603398,-58.390309,16
224,224 - ESTACION PARQUE 224,1,-34.627189,-58.489238,24
225,225 - Estacion Parque 225,1,-34.528003,-58.449063,12
226,226 - ESTACION PLAZA 226,,0.0,-58.462191,24
227,227 - Estacion Plaza 227,4,-34.662545,-58.498299,32
228,228 - ESTACION ESTACION 228,11,-34.65922,-58.442479,20
229,229 - Estacion Barrio 229,1,-34.648888,-58.36457,32
230,230 - Estacion Parque 230,7,-34.704266,-58.358487,16
231,231 - Estacion Av 231,6,-34.605146,-58.476098,24
232,232 - ESTACION BARRIO 232,11,-34.581909,-58.432382,32
233,233 - ESTACION BARRIO 233,14,-34.556847,-58.517997,32
234,234 - Estacion Plaza 234,2,-34.600193,-58.439082,28
235,235 - Estacion Barrio 235,13,-34.632108,-58.391017,20
236,236 - Estacion Plaza 236,15,-34.55327,-58.396211,12
237,237 - Estacion Estacion 237,15,-34.616849,-58.368584,12
238,238 - Estacion Barrio 238,3,-34.610812,-58.468298,16
239,239 - ESTACION BARRIO 239,7,-34.643301,-58.424109,32
240,240 - Estacion Plaza 240,4,-34.626471,-58.516805,20
241,241 - Estacion Plaza 241,4,-34.637837,-58.450068,12
242,242 - ESTACION AV 242,4,-34.583628,-58.391188,32
243,243 - Estacion Parque 243,9,-34.586128,-58.440267,12
244,244 - ESTACION PARQUE 244,11,-34.54791,-58.345474,24
245,245 - Estacion Av 245,5,-34.534279,-58.410569,16
246,246 - Estacion Barrio 246,1,-34.662594,-58.479039,28
247,247 - ESTACION BARRIO 247,6,-34.526606,-58.341082,24
248,248 - ESTACION BARRIO 248,2,-34.583287,-58.406254,24
249,249 - Estacion Av 249,14,-34.570043,-58.49914,20
250,250 - ESTACION PARQUE 250,9,-34.681243,-58.481715,24
251,251 - Estacion Estacion 251,7,-34.564865,-58.530175,24
252,252 - ESTACION PLAZA 252,10,-34.578064,-58.437415,12
253,253 - ESTACION ESTACION 253,14,-34.587743,-58.420948,12
254,254 - Estacion Estacion 254,9,-34.551116,-58.412141,20
255,255 - Estacion Av 255,7,-34.558446,-58.48701,12
256,256 - Estacion Barrio 256,15,-34.551696,-58.491387,16
257,257 - Estacion Barrio 257,11,-34.569574,-58.507751,16
258,258 - Estacion Plaza 258,1,-34.543994,-58.481794,32
259,259 - Estacion Av 259,5,-34.687034,-58.391281,28
260,260 - Estacion Estacion 260,4,-34.598221,-58.473425,12
261,261 - ESTACION ESTACION 261,14,-34.547532,-58.338983,12
262,262 - Estacion Plaza 262,1,-34.574485,-58.408976,20
263,263 - Estacion Plaza 263,2,-34.553923,-58.478925,28
264,264 - ESTACION ESTACION 264,3,-34.653648,-58.374468,20
265,265 - ESTACION PARQUE 265,1,-34.567377,-58.506927,16
266,266 - ESTACION BARRIO 266,4,-34.638493,-58.408606,28
267,267 - ESTACION ESTACION 267,12,-34.704749,-58.451276,28
268,268 - Estacion Plaza 268,2,-34.560286,-58.528404,28
269,269 - ESTACION PARQUE 269,12,-34.554842,-58.364764,24
270,270 - ESTACION PARQUE 270,1,-34.632138,-58.423224,24
271,271 - Estacion Av 271,14,-34.585412,-58.49661,12
272,272 - ESTACION PARQUE 272,4,-34.58605,-58.491051,16
273,273 - Estacion Barrio 273,1,-34.536203,-58.340226,32
274,274 - Estacion Estacion 274,5,-34.630518,-58.394311,24
275,275 - Estacion Barrio 275,1,-34.563298,-58.52116,16
276,276 - Estacion Estacion 276,2,-34.616542,-58.510028,32
277,277 - Estacion Av 277,1,-34.568199,-58.527888,24
278,278 - Estacion Plaza 278,5,-34.567927,-58.369898,12
279,279 - ESTACION BARRIO 279,8,-34.63897,-58.527787,32
280,280 - Estacion Estacion 280,14,-34.564757,-58.43274,12
281,281 - Estacion Av 281,5,-34.628101,-58.36051,16
282,282 - Estacion Barrio 282,8,-34.693221,-58.346244,24
283,283 - ESTACION PLAZA 283,11,-34.634906,-58.370194,32
284,284 - ESTACION AV 284,2,-34.687214,-58.502904,16
285,285 - Estacion Parque 285,11,-34.653298,-58.384973,16
286,286 - Estacion Av 286,2,-34.597744,-58.408205,16
287,287 - Estacion Estacion 287,12,-34.532971,-58.339391,20
288,288 - Estacion Av 288,1,-34.598653,-58.480873,32
289,289 - ESTACION BARRIO 289,13,-34.541085,-58.353415,32
290,290 - Estacion Barrio 290,1,-34.559365,-58.399592,12
291,291 - Estacion Av 291,3,-34.52716,-58.376124,24
292,292 - Estacion Plaza 292,4,-34.616158,-58.397986,20
293,293 - ESTACION ESTACION 293,1,-34.666948,-58.405948,12
294,294 - Estacion Barrio 294,13,-34.555604,-58.528308,20
295,295 - Estacion Estacion 295,2,-34.570781,-58.370101,32
296,296 - ESTACION AV 296,7,-34.696515,-58.520549,20
297,297 - Estacion Estacion 297,4,-34.664368,-58.391903,12
298,298 - Estacion Barrio 298,4,-34.5341,-58.474337,28
299,299 - Estacion Barrio 299,1,-34.609382,-58.341347,28
300,300 - Estacion Av 300,13,-34.564806,-58.456619,32
